group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3JI3B5GTVA95F,1887985923336,0,0,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],4 1 0,5736 17775 10007,49 50 51,0 1 2,33518,5,[1 0],1615149497.233,Sun Mar 07 2021 15:38:17 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,6192 11808 7992,50 51 51,0 1 2,25992,6,[1 0],1615149534.696,Sun Mar 07 2021 15:38:54 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,2,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,4615 8544 9344,50 49 49,0 1 2,22503,9,[1 0],1615149566.303,Sun Mar 07 2021 15:39:26 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,3552 8552 5288,50 50 51,0 1 2,17392,13,[1 0],1615149590.039,Sun Mar 07 2021 15:39:50 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,4,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,2343 6993 5623,50 49 49,0 1 2,14959,9,[1 0],1615149611.302,Sun Mar 07 2021 15:40:11 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,3687 10800 7760,49 49 49,0 1 2,22247,10,[1 0],1615149638.861,Sun Mar 07 2021 15:40:38 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,6,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,2095 5328 3584,49 51 49,0 1 2,11007,8,[1 0],1615149654.389,Sun Mar 07 2021 15:40:54 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,7,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,3648 6072 3800,50 50 51,0 1 2,13520,13,[1 0],1615149671.717,Sun Mar 07 2021 15:41:11 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,8,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 4];[1 1];[7 0],4 1 0,3641 8552 8439,49 49 51,0 1 2,20632,5,[1 0],1615149695.861,Sun Mar 07 2021 15:41:35 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,9,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,4631 6528 7536,49 51 49,0 1 2,18695,8,[1 0],1615149718.628,Sun Mar 07 2021 15:41:58 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,10,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,2000 6144 7423,49 49 50,0 1 2,15567,11,[1 0],1615149738.651,Sun Mar 07 2021 15:42:18 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,11,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1192 16585 9566,49 51 49,0 1 2,27343,8,[1 0],1615149769.923,Sun Mar 07 2021 15:42:49 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,12,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1056 10192 4023,49 51 49,0 1 2,15271,8,[1 0],1615149788.826,Sun Mar 07 2021 15:43:08 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,13,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,1255 4280 6904,49 49 49,0 1 2,12439,10,[1 0],1615149804.394,Sun Mar 07 2021 15:43:24 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,14,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,2320 7736 3960,49 49 49,0 1 2,14016,10,[1 0],1615149821.849,Sun Mar 07 2021 15:43:41 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,15,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],4 1 2,872 8824 4719,49 50 50,0 1 2,14415,7,[1 0],1615149839.761,Sun Mar 07 2021 15:43:59 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,16,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],0 1 2,919 11072 5399,49 50 49,0 1 2,17390,3,[1 0],1615149861.049,Sun Mar 07 2021 15:44:21 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,17,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1399 6121 3240,49 51 49,0 1 2,10760,8,[1 0],1615149875.937,Sun Mar 07 2021 15:44:35 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,18,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,880 4976 4480,49 49 49,0 1 2,10336,10,[1 0],1615149889.576,Sun Mar 07 2021 15:44:49 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,19,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,2345 6031 3688,49 51 49,0 1 2,12064,8,[1 0],1615149904.808,Sun Mar 07 2021 15:45:04 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,20,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,856 9248 4608,49 50 51,0 1 2,14712,11,[1 0],1615149922.92,Sun Mar 07 2021 15:45:22 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,21,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,1648 7785 5288,49 49 49,0 1 2,14721,10,[1 0],1615149941.551,Sun Mar 07 2021 15:45:41 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,22,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,1440 5632 2520,49 49 49,0 1 2,9592,10,[1 0],1615149953.719,Sun Mar 07 2021 15:45:53 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,23,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,1033 9088 4840,49 50 51,0 1 2,14961,11,[1 0],1615149972.278,Sun Mar 07 2021 15:46:12 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,24,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,2063 631 6080 6072,51 50 51 51,1 2 3,14846,6,[1 0],1615149990.75,Sun Mar 07 2021 15:46:30 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,25,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,2064 5200 3039,49 49 49,0 1 2,10303,10,[1 0],1615150004.478,Sun Mar 07 2021 15:46:44 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,26,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,5696 25872 2791,49 49 49,0 1 2,34359,10,[1 0],1615150042.117,Sun Mar 07 2021 15:47:22 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,27,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,2223 4007 5264,50 50 51,0 1 2,11494,13,[1 0],1615150057.693,Sun Mar 07 2021 15:47:37 GMT-0500 (Eastern Standard Time),0
A,A3JI3B5GTVA95F,1887985923336,0,28,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,1327 4089 5904,50 51 49,0 1 2,11320,7,[1 0],1615150072.924,Sun Mar 07 2021 15:47:52 GMT-0500 (Eastern Standard Time),0
