group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2FYFCD16Z3PCC,1764742591726,0,0,train,1,[0 1],[1 0],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],0 1 3,42008 28744 23216,97 49 49,0 1 2,93968,4,[1 0],1614583091.495,Mon Mar 01 2021 01:18:11 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[1 0];[1 1];[3 5],1 1 3,6407 25281 35112,50 49 49,0 1 2,66800,5,[1 0],1614583179.647,Mon Mar 01 2021 01:19:39 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,2,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],1 1 7,2176 3312 17377,50 50 49,0 1 2,22865,9,[1 0],1614583210.879,Mon Mar 01 2021 01:20:10 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,3,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,1128 4056 2992,49 51 49,0 1 2,8176,6,[1 0],1614583223.703,Mon Mar 01 2021 01:20:23 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,4,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],0 1 5,2088 9000 4440,49 51 51,0 1 2,15528,6,[1 0],1614583242.046,Mon Mar 01 2021 01:20:42 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,5,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],1 1 7,3592 2705 4006 4057,51 50 50 49,1 2 3,14360,9,[1 0],1614583259.429,Mon Mar 01 2021 01:20:59 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,6,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],0 1 4,1296 1880 2056 2976,50 32 51 50,0 2 3,8208,5,[1 0],1614583270.543,Mon Mar 01 2021 01:21:10 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,7,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[1 0];[1 1];[4 3],1 1 4,2143 3888 3440,50 49 50,0 1 2,9471,6,[1 0],1614583283.086,Mon Mar 01 2021 01:21:23 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,8,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],4 1 2,1552 3993 4199,49 51 51,0 1 2,9744,7,[1 0],1614583296.534,Mon Mar 01 2021 01:21:36 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,9,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[1 0];[1 1];[6 5],0 1 5,4400 2912 4888,50 50 51,0 1 2,12200,6,[1 0],1614583312.246,Mon Mar 01 2021 01:21:52 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[1 1];[1 7],4 1 7,1399 5842 4696,49 49 51,0 1 2,11937,12,[1 0],1614583329.519,Mon Mar 01 2021 01:22:09 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,11,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[1 0];[1 1];[1 7],1 1 1,1632 9232 4112,50 49 51,0 1 2,14976,3,[1 0],1614583347.535,Mon Mar 01 2021 01:22:27 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,12,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,3431 2232 3616,50 51 49,0 1 2,9279,11,[1 0],1614583360.351,Mon Mar 01 2021 01:22:40 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,13,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],4 1 4,985 4639 8130,49 51 50,0 1 2,13754,9,[1 0],1614583385.599,Mon Mar 01 2021 01:23:05 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,14,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],4 1 2,768 2632 1648,49 51 51,0 1 2,5048,7,[1 0],1614583393.679,Mon Mar 01 2021 01:23:13 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,15,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,469 2216 2416,49 51 49,0 1 2,5101,6,[1 0],1614583401.767,Mon Mar 01 2021 01:23:21 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,16,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,687 1784 3544,49 49 49,0 1 2,6015,10,[1 0],1614583410.464,Mon Mar 01 2021 01:23:30 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,17,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,1144 2009 1719,50 51 49,0 1 2,4872,11,[1 0],1614583418.79,Mon Mar 01 2021 01:23:38 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,18,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 4];[1 1];[7 0],4 1 0,512 3384 2320,49 50 49,0 1 2,6216,5,[1 0],1614583428.654,Mon Mar 01 2021 01:23:48 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,19,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,424 1616 2088,49 50 51,0 1 2,4128,10,[1 0],1614583440.79,Mon Mar 01 2021 01:24:00 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,20,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1344 3265 2232,49 50 50,0 1 2,6841,11,[1 0],1614583453.607,Mon Mar 01 2021 01:24:13 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,21,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,2432 1792 1616,50 51 49,0 1 2,5840,11,[1 0],1614583461.719,Mon Mar 01 2021 01:24:21 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,22,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,1032 1767 1888,50 51 49,0 1 2,4687,11,[1 0],1614583470.126,Mon Mar 01 2021 01:24:30 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,23,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1856 1552 1576,49 50 50,0 1 2,4984,11,[1 0],1614583477.782,Mon Mar 01 2021 01:24:37 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,24,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,5960 1576 1520,49 50 50,0 1 2,9056,11,[1 0],1614583489.958,Mon Mar 01 2021 01:24:49 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,25,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,480 1488 1400,49 50 50,0 1 2,3368,11,[1 0],1614583495.454,Mon Mar 01 2021 01:24:55 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,26,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1728 1480 1560,49 50 50,0 1 2,4768,11,[1 0],1614583502.157,Mon Mar 01 2021 01:25:02 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,27,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,2129 1744 1600,50 51 49,0 1 2,5473,11,[1 0],1614583510.575,Mon Mar 01 2021 01:25:10 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,28,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,584 1800 1431,49 50 50,0 1 2,3815,11,[1 0],1614583516.519,Mon Mar 01 2021 01:25:16 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,29,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,9912 1527 1752,49 50 50,0 1 2,13191,11,[1 0],1614583532.142,Mon Mar 01 2021 01:25:32 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,30,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,944 1632 2001,49 50 51,0 1 2,4577,10,[1 0],1614583542.622,Mon Mar 01 2021 01:25:42 GMT-0600 (Central Standard Time),0
A,A2FYFCD16Z3PCC,1764742591726,0,31,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,376 1560 1569,49 50 50,0 1 2,3505,11,[1 0],1614583549.375,Mon Mar 01 2021 01:25:49 GMT-0600 (Central Standard Time),0
