group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3I1YVPX6OC0Q9,1880762694870,0,0,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,6669 8346 6855,50 49 50,0 1 2,21870,2,[0 1],1616490196.023,Tue Mar 23 2021 17:03:16 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1124 5691 2745,49 50 49,0 1 2,9560,8,[0 1],1616490209.923,Tue Mar 23 2021 17:03:29 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,2,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,760 3407 1991 835,50 49 86 50,0 1 3,6993,2,[0 1],1616490222.318,Tue Mar 23 2021 17:03:42 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,3,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,909 5315 2739,50 49 50,0 1 2,8963,2,[0 1],1616490238.398,Tue Mar 23 2021 17:03:58 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,4,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,825 4237 3242,49 50 49,0 1 2,8304,8,[0 1],1616490256.455,Tue Mar 23 2021 17:04:16 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,5,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,820 11120 2697,49 50 49,0 1 2,14637,8,[0 1],1616490274.732,Tue Mar 23 2021 17:04:34 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,6,train,1,[0 1],[0 1],1 2 3 2 4 2 3 6,8,1 1 1 2 1 1 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],0 0 0 0 0 0 0,997 12803 4067 530 11288 740 14200 2856 3707,49 49 32 49 32 50 98 97 98,0 1 3 5 6 7 8,51188,0,[0 1],1616490330.989,Tue Mar 23 2021 17:05:30 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,7,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1406 2573 3325,97 98 97,0 1 2,7304,6,[0 1],1616490343.546,Tue Mar 23 2021 17:05:43 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,8,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1125 2317 3162,98 97 98,0 1 2,6604,7,[0 1],1616490354.204,Tue Mar 23 2021 17:05:54 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,9,train,1,[1 0],[1 0],1 2 4 2 3 6,6,1 2 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 7,758 5229 3491 2659 3049,97 98 98 97 98,0 1 2 3 4,15186,11,[0 1],1616490381.475,Tue Mar 23 2021 17:06:21 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,10,train,1,[0 1],[0 1],1 2 5 2 5 6,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 8,1514 4702 2041 4123 3246,97 99 98 99 97,0 1 2 3 4,15626,8,[0 1],1616490408.16,Tue Mar 23 2021 17:06:48 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,11,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,727 1872 3416 2991 368,99 98 97 99 98,1 2 4,9374,2,[0 1],1616490422.064,Tue Mar 23 2021 17:07:02 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,12,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,749 2719 3264,98 97 98,0 1 2,6732,2,[0 1],1616490433.999,Tue Mar 23 2021 17:07:13 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,13,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1154 3719 3680,97 98 97,0 1 2,8553,8,[0 1],1616490445.557,Tue Mar 23 2021 17:07:25 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,14,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1177 2600 2500 2864,99 98 97 98,1 2 3,9141,2,[0 1],1616490459.239,Tue Mar 23 2021 17:07:39 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,15,train,1,[1 0],[1 0],1 2 3 2 5 6,6,2 1 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 8],0 0 0 0 0,1692 5551 6046 3831 4308,98 97 97 99 97,0 1 2 3 4,21428,0,[0 1],1616490485.22,Tue Mar 23 2021 17:08:05 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,16,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,878 3756 3063,98 98 97,0 1 2,7697,4,[0 1],1616490496.441,Tue Mar 23 2021 17:08:16 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,17,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1091 694 5643 3725,99 98 97 98,1 2 3,11153,2,[0 1],1616490510.208,Tue Mar 23 2021 17:08:30 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,18,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2197 12924 2626,98 97 98,0 1 2,17747,7,[0 1],1616490531.729,Tue Mar 23 2021 17:08:51 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,19,train,1,[1 0],[1 0],1 2 4 2 5 6,6,1 2 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,829 2953 3160 2893 3253,97 98 98 99 97,0 1 2 3 4,13088,4,[0 1],1616490548.829,Tue Mar 23 2021 17:09:08 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,20,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1293 5903 2620,97 98 97,0 1 2,9816,6,[0 1],1616490565.902,Tue Mar 23 2021 17:09:25 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,21,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,1429 6835 3457 1663,98 98 99 97,0 1 3,13384,8,[0 1],1616490688.349,Tue Mar 23 2021 17:11:28 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,22,train,1,[1 0],[1 0],1 2 4 2 3 6,6,1 2 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 7,962 5524 8036 3550 3663,97 98 98 97 98,0 1 2 3 4,21735,11,[0 1],1616490714.064,Tue Mar 23 2021 17:11:54 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,23,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1412 1788 2932 3193,99 98 97 98,1 2 3,9325,2,[0 1],1616490728.48,Tue Mar 23 2021 17:12:08 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,24,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,241 2528 2374 434,97 98 32 97,0 1 3,5577,8,[0 1],1616490738.498,Tue Mar 23 2021 17:12:18 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,25,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,979 4143 3822,98 99 97,0 1 2,8944,10,[0 1],1616490749.89,Tue Mar 23 2021 17:12:29 GMT+0800 (China Standard Time),7
A,A3I1YVPX6OC0Q9,1880762694870,0,26,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,780 2842 2685,98 98 97,0 1 2,6307,4,[0 1],1616490759.825,Tue Mar 23 2021 17:12:39 GMT+0800 (China Standard Time),7
