group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AO32GL5867YY7,1389602270555,0,0,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,3640 18119 8063,49 49 50,0 1 2,29822,8,[0 1],1616458102.389,Mon Mar 22 2021 20:08:22 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,1,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2551 3015 3409 2880,49 51 51 49,0 1 3,11855,7,[0 1],1616458123.926,Mon Mar 22 2021 20:08:43 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,2,train,1,[1 0],[1 0],1 2 3 2 3 2 4 6,8,1 1 1 1 1 2 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 0 0 4,4807 4808 3936 3287 672 3112 2792 2863,50 51 50 52 51 50 49 50,0 1 2 4 5 6 7,26277,8,[0 1],1616458153.857,Mon Mar 22 2021 20:09:13 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1296 583 3040 2504,51 50 50 49,1 2 3,7423,8,[0 1],1616458163.504,Mon Mar 22 2021 20:09:23 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,4,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,751 952 3679 2889,51 50 50 49,1 2 3,8271,8,[0 1],1616458178.979,Mon Mar 22 2021 20:09:38 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,5,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,1623 2696 3144,49 50 49,0 1 2,7463,0,[0 1],1616458190.399,Mon Mar 22 2021 20:09:50 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,6,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,895 4296 2865,50 51 49,0 1 2,8056,0,[0 1],1616458201.919,Mon Mar 22 2021 20:10:01 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,7,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1007 2824 2400,50 49 50,0 1 2,6231,6,[0 1],1616458211.389,Mon Mar 22 2021 20:10:11 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,839 3360 2753,50 49 50,0 1 2,6952,8,[0 1],1616458221.533,Mon Mar 22 2021 20:10:21 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,9,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,807 4839 2344,50 50 49,0 1 2,7990,4,[0 1],1616458238.884,Mon Mar 22 2021 20:10:38 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,10,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1663 2679 2359,50 49 50,0 1 2,6701,6,[0 1],1616458248.796,Mon Mar 22 2021 20:10:48 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,11,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1823 2415 2136,50 49 50,0 1 2,6374,8,[0 1],1616458258.515,Mon Mar 22 2021 20:10:58 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,12,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,760 2583 2552 520,50 49 51 50,0 1 3,6415,6,[0 1],1616458267.739,Mon Mar 22 2021 20:11:07 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,13,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1928 2279 2384,50 49 50,0 1 2,6591,6,[0 1],1616458277.642,Mon Mar 22 2021 20:11:17 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,14,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,792 2712 2320,50 49 50,0 1 2,5824,6,[0 1],1616458286.002,Mon Mar 22 2021 20:11:26 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,15,train,1,[1 0],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],0 0 0 0 4,991 2887 2497 551 6176 2952,49 50 51 50 49 50,0 1 3 4 5,16054,4,[0 1],1616458305.673,Mon Mar 22 2021 20:11:45 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,16,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1470 2896 2840,50 49 50,0 1 2,7206,8,[0 1],1616458317.016,Mon Mar 22 2021 20:11:57 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1712 4904 2823,50 49 50,0 1 2,9439,8,[0 1],1616458329.328,Mon Mar 22 2021 20:12:09 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,18,train,1,[0 1],[0 1],1 2 4 2 4 6,6,2 2 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],2 0 0 0 6,959 2640 2744 2672 2656,49 49 49 49 50,0 1 2 3 4,11671,8,[0 1],1616458343.719,Mon Mar 22 2021 20:12:23 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,19,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1168 2672 2712,50 49 50,0 1 2,6552,6,[0 1],1616458352.831,Mon Mar 22 2021 20:12:32 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,20,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1029 4247 4024,49 51 49,0 1 2,9300,2,[0 1],1616458364.806,Mon Mar 22 2021 20:12:44 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,21,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1080 4961 3038,49 50 49,0 1 2,9079,10,[0 1],1616458376.911,Mon Mar 22 2021 20:12:56 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,22,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1896 4368 2776,50 50 49,0 1 2,9040,8,[0 1],1616458388.74,Mon Mar 22 2021 20:13:08 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,23,train,1,[1 0],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],0 0 0 0 4,1702 4944 3416 3895 4040,49 51 50 49 50,0 1 2 3 4,17997,4,[0 1],1616458409.748,Mon Mar 22 2021 20:13:29 GMT-0400 (Eastern Daylight Time),1
A,AO32GL5867YY7,1389602270555,0,24,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,1103 4312 2746,49 50 49,0 1 2,8161,0,[0 1],1616458420.747,Mon Mar 22 2021 20:13:40 GMT-0400 (Eastern Daylight Time),1
