group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1F9KLZGHE9DTA,1910405421083,0,0,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,3563 17692 6078,97 98 97,0 1 2,27333,9,[0 1],1615386751.005,Wed Mar 10 2021 09:32:31 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[3 0];[1 1];[5 6],3 1 5,1345 4159 5146,98 99 97,0 1 2,10650,9,[0 1],1615386767.725,Wed Mar 10 2021 09:32:47 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,2,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,651 7539 3962,98 97 98,0 1 2,12152,6,[0 1],1615386784.394,Wed Mar 10 2021 09:33:04 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,963 2888 4223,98 97 98,0 1 2,8074,6,[0 1],1615386798.265,Wed Mar 10 2021 09:33:18 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,4,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,827 4494 5216,97 99 98,0 1 2,10537,7,[0 1],1615386813.518,Wed Mar 10 2021 09:33:33 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,5,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,1821 4496 3353,97 97 98,0 1 2,9670,8,[0 1],1615386828.274,Wed Mar 10 2021 09:33:48 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,6,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],0 1 1,1191 2767 2792,98 98 97,0 1 2,6750,2,[0 1],1615386839.291,Wed Mar 10 2021 09:33:59 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,7,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,738 3565 2632,98 97 98,0 1 2,6935,6,[0 1],1615386849.668,Wed Mar 10 2021 09:34:09 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,8,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],0 1 9,1377 2942 5108,98 97 97,0 1 2,9427,10,[0 1],1615386864.08,Wed Mar 10 2021 09:34:24 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,9,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],3 1 3,472 4504 6394,98 98 99,0 1 2,11370,7,[0 1],1615386878.849,Wed Mar 10 2021 09:34:38 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,10,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,4328 3208 2663,97 98 99,0 1 2,10199,4,[0 1],1615386893.533,Wed Mar 10 2021 09:34:53 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,11,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,2007 4435 4658,98 97 99,0 1 2,11100,8,[0 1],1615386912.25,Wed Mar 10 2021 09:35:12 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,12,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,2241 3626 2915,97 99 97,0 1 2,8782,6,[0 1],1615386926.091,Wed Mar 10 2021 09:35:26 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,13,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,2682 6064 5152,98 97 98,0 1 2,13898,6,[0 1],1615386944.123,Wed Mar 10 2021 09:35:44 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,14,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,2119 4778 7004,98 97 99,0 1 2,13901,8,[0 1],1615386962.508,Wed Mar 10 2021 09:36:02 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,15,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,2392 4466 3080,98 98 97,0 1 2,9938,12,[0 1],1615386976.923,Wed Mar 10 2021 09:36:16 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,16,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],3 1 1,2735 4514 4199,98 97 97,0 1 2,11448,5,[0 1],1615386993.718,Wed Mar 10 2021 09:36:33 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,17,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1940 4339 6292,97 99 98,0 1 2,12571,3,[0 1],1615387009.576,Wed Mar 10 2021 09:36:49 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,18,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,2849 4814 3224,97 99 97,0 1 2,10887,9,[0 1],1615387025.406,Wed Mar 10 2021 09:37:05 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,19,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,1577 5161 3320,97 97 97,0 1 2,10058,12,[0 1],1615387041.333,Wed Mar 10 2021 09:37:21 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,20,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,2204 4385 5304,98 97 98,0 1 2,11893,6,[0 1],1615387057.254,Wed Mar 10 2021 09:37:37 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,21,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,1791 4133 6216,98 98 97,0 1 2,12140,12,[0 1],1615387073.958,Wed Mar 10 2021 09:37:53 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,22,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,2920 3611 3708,97 99 98,0 1 2,10239,3,[0 1],1615387086.96,Wed Mar 10 2021 09:38:06 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,23,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,2191 5499 3768,97 98 99,0 1 2,11458,7,[0 1],1615387102.242,Wed Mar 10 2021 09:38:22 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,24,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,1183 5912 4502,98 99 99,0 1 2,11597,4,[0 1],1615387118.577,Wed Mar 10 2021 09:38:38 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,25,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],0 1 9,984 2902 3474,98 97 97,0 1 2,7360,10,[0 1],1615387129.883,Wed Mar 10 2021 09:38:49 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,26,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,1429 7286 3649,98 97 98,0 1 2,12364,6,[0 1],1615387145.9,Wed Mar 10 2021 09:39:05 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,27,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,1599 6633 2888,97 97 97,0 1 2,11120,12,[0 1],1615387160.964,Wed Mar 10 2021 09:39:20 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,28,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,2077 6627 4804,97 97 97,0 1 2,13508,12,[0 1],1615387178.398,Wed Mar 10 2021 09:39:38 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,29,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,1643 5934 6335,98 97 99,0 1 2,13912,8,[0 1],1615387197.582,Wed Mar 10 2021 09:39:57 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,30,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,3272 5485 4656,98 97 99,0 1 2,13413,8,[0 1],1615387221.193,Wed Mar 10 2021 09:40:21 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,31,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,8771 8296 6861,97 97 97,0 1 2,23928,12,[0 1],1615387252.995,Wed Mar 10 2021 09:40:52 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,32,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[3 0];[1 1];[5 3],3 1 5,4100 4448 6104,98 98 98,0 1 2,14652,9,[0 1],1615387272.341,Wed Mar 10 2021 09:41:12 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,33,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],3 1 3,2811 3486 3608,98 98 99,0 1 2,9905,7,[0 1],1615387285.782,Wed Mar 10 2021 09:41:25 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,34,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,1298 2464 2360,97 97 97,0 1 2,6122,12,[0 1],1615387294.211,Wed Mar 10 2021 09:41:34 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,35,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,2519 2598 3728,97 97 97,0 1 2,8845,12,[0 1],1615387308.277,Wed Mar 10 2021 09:41:48 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,36,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,847 2056 2500,97 97 97,0 1 2,5403,12,[0 1],1615387316.537,Wed Mar 10 2021 09:41:56 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,37,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,2229 3408 4369,97 97 99,0 1 2,10006,5,[0 1],1615387331.017,Wed Mar 10 2021 09:42:11 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,38,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,457 1975 2225,97 97 97,0 1 2,4657,12,[0 1],1615387338.922,Wed Mar 10 2021 09:42:18 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,39,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[3 0];[1 1];[5 6],3 1 5,2600 4505 4583,98 99 97,0 1 2,11688,9,[0 1],1615387354.203,Wed Mar 10 2021 09:42:34 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,40,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,750 2754 4512,98 97 98,0 1 2,8016,6,[0 1],1615387365.47,Wed Mar 10 2021 09:42:45 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,41,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,492 2082 2118,97 97 97,0 1 2,4692,12,[0 1],1615387373.471,Wed Mar 10 2021 09:42:53 GMT-0500 (Eastern Standard Time),0
A,A1F9KLZGHE9DTA,1910405421083,0,42,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,384 1824 1736,97 97 97,0 1 2,3944,12,[0 1],1615387380.102,Wed Mar 10 2021 09:43:00 GMT-0500 (Eastern Standard Time),0
