group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AMPMTF5IAAMK8,1088246134133,0,0,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,871 6353 4831,49 50 51,0 1 2,12055,6,[1 0],1615386374.028,Wed Mar 10 2021 08:26:14 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,1,train,1,[0 1],[1 0],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],0 1 7,1648 2800 3080,50 51 50,0 1 2,7528,8,[1 0],1615386389.259,Wed Mar 10 2021 08:26:29 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,2,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1280 3823 3521,50 51 51,0 1 2,8624,10,[1 0],1615386403.691,Wed Mar 10 2021 08:26:43 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,3,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,1392 1783 2873,50 49 51,0 1 2,6048,8,[1 0],1615386413.379,Wed Mar 10 2021 08:26:53 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,4,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,1042 3126 2000,50 51 50,0 1 2,6168,4,[1 0],1615386424.619,Wed Mar 10 2021 08:27:04 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,5,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,744 2127 3289,49 51 51,0 1 2,6160,7,[1 0],1615386433.291,Wed Mar 10 2021 08:27:13 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,808 888 3327 1793,51 50 51 51,1 2 3,6816,10,[1 0],1615386442.643,Wed Mar 10 2021 08:27:22 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,7,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,864 2304 2840,49 49 49,0 1 2,6008,8,[1 0],1615386451.819,Wed Mar 10 2021 08:27:31 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,8,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],0 1 9,1271 2256 2024,50 49 50,0 1 2,5551,10,[1 0],1615386461.555,Wed Mar 10 2021 08:27:41 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,9,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,840 528 2720 1736,51 50 49 51,1 2 3,5824,8,[1 0],1615386470.083,Wed Mar 10 2021 08:27:50 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,1592 3104 2608,50 50 50,0 1 2,7304,12,[1 0],1615386481.219,Wed Mar 10 2021 08:28:01 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,11,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,562 2808 3464,49 49 50,0 1 2,6834,12,[1 0],1615386491.675,Wed Mar 10 2021 08:28:11 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,12,train,1,[1 0],[0 1],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],0 1 3,927 2248 2864,49 50 49,0 1 2,6039,4,[1 0],1615386500.827,Wed Mar 10 2021 08:28:20 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,13,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,864 2424 2072,49 51 51,0 1 2,5360,7,[1 0],1615386538.171,Wed Mar 10 2021 08:28:58 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,14,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],0 1 9,1240 2832 2376,50 49 50,0 1 2,6448,10,[1 0],1615386548.468,Wed Mar 10 2021 08:29:08 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,15,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],0 1 9,904 3424 2128,50 49 50,0 1 2,6456,10,[1 0],1615386557.251,Wed Mar 10 2021 08:29:17 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,16,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,776 2848 2512,50 51 49,0 1 2,6136,7,[1 0],1615386566.371,Wed Mar 10 2021 08:29:26 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,17,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,1752 2232 3040,50 50 51,0 1 2,7024,9,[1 0],1615386577.467,Wed Mar 10 2021 08:29:37 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,18,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,1568 2360 2585,50 50 51,0 1 2,6513,9,[1 0],1615386587.683,Wed Mar 10 2021 08:29:47 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,19,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,952 1928 2616,50 49 51,0 1 2,5496,8,[1 0],1615386595.891,Wed Mar 10 2021 08:29:55 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,20,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,1352 1969 2239,50 49 50,0 1 2,5560,5,[1 0],1615386604.06,Wed Mar 10 2021 08:30:04 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,21,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1111 3849 2256,50 51 51,0 1 2,7216,10,[1 0],1615386614.748,Wed Mar 10 2021 08:30:14 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,22,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,1136 1632 1647,50 51 50,0 1 2,4415,4,[1 0],1615386621.883,Wed Mar 10 2021 08:30:21 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,23,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,696 2848 2280,49 51 51,0 1 2,5824,7,[1 0],1615386629.668,Wed Mar 10 2021 08:30:29 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,24,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,848 3016 2408,49 50 49,0 1 2,6272,7,[1 0],1615386638.972,Wed Mar 10 2021 08:30:38 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,25,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,1008 2616 2504,50 50 51,0 1 2,6128,9,[1 0],1615386647.668,Wed Mar 10 2021 08:30:47 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,26,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1121 2408 2255,49 49 50,0 1 2,5784,12,[1 0],1615386656.788,Wed Mar 10 2021 08:30:56 GMT-0600 (Central Standard Time),1
A,AMPMTF5IAAMK8,1088246134133,0,27,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],2 1 1,967 1888 2369,49 50 50,0 1 2,5224,4,[1 0],1615386665.252,Wed Mar 10 2021 08:31:05 GMT-0600 (Central Standard Time),1
